LMH6;4,000;6,000;0,000;12,000;0,000;19,000;0,000;28,000;0,000;18,000;5,000;20,000;—;3.4×6.5×3.3;12,000;12,000;-5,000;206,000;265,000;18,000
LMH8;4,000;8,000;-0,009;15,000;-0,011;24,000;-0,200;32,000;-0,200;21,000;5,000;24,000;—;3.4×6.5×3.3;12,000;12,000;-5,000;265,000;402,000;28,000
LMH10;4,000;10,000;;19,000;0,000;29,000;;39,000;;25,000;6,000;29,000;—;4.5×8×4.4;12,000;12,000;-5,000;373,000;549,000;50,000
LMH12;4,000;12,000;;21,000;-0,013;30,000;;42,000;;27,000;6,000;32,000;—;4.5×8×4.4;12,000;12,000;-5,000;412,000;598,000;55,000
LMH13;4,000;13,000;;23,000;;32,000;;43,000;;29,000;6,000;33,000;—;4.5×8×4.4;12,000;12,000;-7,000;510,000;775,000;70,000
LMH16;5,000;16,000;;28,000;;37,000;;48,000;;347,000;6,000;31,000;22,000;4.5×8×4.4;12,000;12,000;-7,000;775,000;1180,000;95,000
LMH20;5,000;20,000;0,000;32,000;0,000;42,000;;54,000;;38,000;8,000;36,000;24,000;5.5×9.2×5.4;15,000;15,000;-9,000;863,000;1370,000;150,000
LMH25;6,000;25,000;-0,010;40,000;-0,016;59,000;0,000;62,000;;46,000;8,000;40,000;32,000;5.5×9.2×5.4;15,000;15,000;-9,000;980,000;1570,000;275,000
LMH30;6,000;30,000;;45,000;;64,000;-0,300;74,000;;51,000;10,000;49,000;35,000;6.6×11×6.5;15,000;15,000;-9,000;1570,000;2750,000;350,000
